,titulos,urls,precios
0,Disco Solido Ssd 1tb M.2 Kingston Snv2s/1000g Nvme Pcie 4.0,https://www.mercadolibre.com.ar/disco-solido-ssd-1tb-m2-kingston-snv2s1000g-nvme-pcie-40/p/MLA19814719?pdp_filters=category:MLA1648#searchVariation=MLA19814719&position=2&search_layout=stack&type=product&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,81.059
1,Pc Notebook Lenovo E470 I7 Nvidia 940m Ram 8gb 480ssd,https://articulo.mercadolibre.com.ar/MLA-1683104846-pc-notebook-lenovo-e470-i7-nvidia-940m-ram-8gb-480ssd-_JM#position=23&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,585.000
2,Pc Gamer Armada Amd Ryzen 5 5600g 12 Nucleo Ram 16gb Ssd 480,https://articulo.mercadolibre.com.ar/MLA-1364518443-pc-gamer-armada-amd-ryzen-5-5600g-12-nucleo-ram-16gb-ssd-480-_JM#position=24&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,571.004
3,Computadora Completa Intel Core I5 16 Gb 480 Ssd Monitor 19,https://articulo.mercadolibre.com.ar/MLA-1447415460-computadora-completa-intel-core-i5-16-gb-480-ssd-monitor-19-_JM#position=25&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,499.790
4,Computadora Notebook Dell I5 Disco Solido Oficina Estudio,https://articulo.mercadolibre.com.ar/MLA-1632830300-computadora-notebook-dell-i5-disco-solido-oficina-estudio-_JM#position=26&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,310.320
5,Computadora Notebook Para Trabajo Estudio Core I5 Economica,https://articulo.mercadolibre.com.ar/MLA-1407431489-computadora-notebook-para-trabajo-estudio-core-i5-economica-_JM#position=27&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,305.000
6,Computadora Completa Hp Dual Core - 8gb Ram Lcd 17,https://articulo.mercadolibre.com.ar/MLA-1169090990-computadora-completa-hp-dual-core-8gb-ram-lcd-17-_JM#position=28&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,242.403
7,Computadora Notebook Para Trabajo Estudio Core I7 Economica,https://articulo.mercadolibre.com.ar/MLA-1649880750-computadora-notebook-para-trabajo-estudio-core-i7-economica-_JM#position=29&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,396.050
8,Pc Gamer Amd Ryzen 3 3200g 16gb Ddr4 Ssd 240gb 500w Acuario,https://articulo.mercadolibre.com.ar/MLA-1262608379-pc-gamer-amd-ryzen-3-3200g-16gb-ddr4-ssd-240gb-500w-acuario-_JM#position=32&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,380.999
9,Monitor Led Samsung 24'' Ips 75hz - Lf24t350fhlczb,https://www.mercadolibre.com.ar/monitor-led-samsung-24-ips-75hz-lf24t350fhlczb/p/MLA17360590?pdp_filters=category:MLA1648#searchVariation=MLA17360590&position=1&search_layout=stack&type=product&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,174.433
10,Computadora Cpu Armada Intel Core I5 8 Gb 240 Gb Ssd,https://articulo.mercadolibre.com.ar/MLA-860966940-computadora-cpu-armada-intel-core-i5-8-gb-240-gb-ssd-_JM#position=33&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,299.900
11,Pc Armada Gamer Amd Ryzen 5 5600g/16gb/480gb/off+win10/wifi,https://articulo.mercadolibre.com.ar/MLA-1207105350-pc-armada-gamer-amd-ryzen-5-5600g16gb480gboffwin10wifi-_JM#position=34&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,561.000
12,Computadoras Notebook Laptop Baratas Ssd 256gb 6gb Windows,https://www.mercadolibre.com.ar/computadoras-notebook-laptop-baratas-ssd-256gb-6gb-windows/p/MLA21215096?pdp_filters=category:MLA1648#searchVariation=MLA21215096&position=3&search_layout=stack&type=product&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,238.240.806
13,Pc Gamer Armada Ryzen 5 4600g 12 Nucleo Amd Ram 16gb Ssd 480,https://articulo.mercadolibre.com.ar/MLA-1370460870-pc-gamer-armada-ryzen-5-4600g-12-nucleo-amd-ram-16gb-ssd-480-_JM#position=35&search_layout=stack&type=item&tracking_id=477eaebd-140f-4890-97b0-56271e0fd3f0,470.726
